fpath,subject,session,task,run
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/UNC7027_v0.6_VEP_20220520_1516/UNC7027_v0.6_VEP_20220520_1516_proc-cleaned_raw.fif,UNC7027,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/UNC7032_v06_20220715_1531/UNC7032_v06_20220715_1531_proc-cleaned_raw.fif,UNC7032,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/UNC7052_v12_20230922_0856/UNC7052_v12_20230922_0856_proc-cleaned_raw.fif,UNC7052,12,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/UNC7053_v06_20230301_0815/UNC7053_v06_20230301_0815_proc-cleaned_raw.fif,UNC7053,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/UNC7053_v06p2_20230301_0905/UNC7053_v06p2_20230301_0905_proc-cleaned_raw.fif,UNC7053,6,aep,2
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/UNC7060_v06_20230818_1024/UNC7060_v06_20230818_1024_proc-cleaned_raw.fif,UNC7060,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/UNC7060_v06_p2_20230818_1040/UNC7060_v06_p2_20230818_1040_proc-cleaned_raw.fif,UNC7060,6,aep,2
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/UNC7068_v06_20240312_1510/UNC7068_v06_20240312_1510_proc-cleaned_raw.fif,UNC7068,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7011_12m_EEG_20211108_1403/PHI7011_12m_EEG_20211108_1403_proc-cleaned_raw.fif,PHI7011,12,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7011_v06_EEG_20210511_1151/PHI7011_v06_EEG_20210511_1151_proc-cleaned_raw.fif,PHI7011,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7012_EP_v06_20210510_1250/PHI7012_EP_v06_20210510_1250_proc-cleaned_raw.fif,PHI7012,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7012_V12-CVD_EEG__20210928_1/PHI7012_V12-CVD_EEG__20210928_1_proc-cleaned_raw.fif,PHI7012,12,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7013_v06_EP__20210604_1255/PHI7013_v06_EP__20210604_1255_proc-cleaned_raw.fif,PHI7013,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7015_v06_EEG_20210624_1308/PHI7015_v06_EEG_20210624_1308_proc-cleaned_raw.fif,PHI7015,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7015_V12_EEG_20220203_1037/PHI7015_V12_EEG_20220203_1037_proc-cleaned_raw.fif,PHI7015,12,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7019_V06-CVD_EEG_20210924_12/PHI7019_V06-CVD_EEG_20210924_12_proc-cleaned_raw.fif,PHI7019,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7019_V12_EEG_20220131_1050/PHI7019_V12_EEG_20220131_1050_proc-cleaned_raw.fif,PHI7019,12,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7023_V12_CVD_EEG1_20220429_1/PHI7023_V12_CVD_EEG1_20220429_1_proc-cleaned_raw.fif,PHI7023,12,aep,2
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7023_v12-CVD_EEG/PHI7023_v12-CVD_EEG_proc-cleaned_raw.fif,PHI7023,12,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7026_v06_EEG_20210909_1435/PHI7026_v06_EEG_20210909_1435_proc-cleaned_raw.fif,PHI7026,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7026_V12-CVD_EEG_4_20220422_/PHI7026_V12-CVD_EEG_4_20220422__proc-cleaned_raw.fif,PHI7026,12,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7032_v06_EEG_20220203_1542/PHI7032_v06_EEG_20220203_1542_proc-cleaned_raw.fif,PHI7032,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7033_v06_EEG_20220309_1104/PHI7033_v06_EEG_20220309_1104_proc-cleaned_raw.fif,PHI7033,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7059_V12_2_20230609_095439/PHI7059_V12_2_20230609_095439_proc-cleaned_raw.fif,PHI7059,12,aep,1
